,accuracy,f1_macro,f1_weighted
XGBoost (flat),0.9513348164627363,0.8011542445599105,0.9464382301595188
DL Only,0.9721913236929922,0.8887611283559034,0.9708176775018971
Hybrid (Ours),0.9733036707452726,0.9075708844071934,0.9727980956693058
